order_id,user_id,order_date,channel,product_id,quantity,unit_price,revenue
1,9,2026-04-03 06:20:17,email,10,2,112.09,224.18
1,9,2026-04-03 06:20:17,email,23,1,74.71,74.71
2,11,2026-02-19 00:30:51,email,42,3,37.05,111.15
2,11,2026-02-19 00:30:51,email,38,2,8.78,17.56
2,11,2026-02-19 00:30:51,email,12,1,128.61,128.61
3,13,2026-02-07 12:41:04,paid_search,10,1,107.0,107.0
4,42,2026-03-11 10:28:22,direct,37,1,35.02,35.02
5,53,2026-06-17 02:25:36,email,12,1,128.61,128.61
6,66,2026-01-26 00:08:07,email,31,2,152.52,305.04
7,71,2026-05-12 02:17:53,email,27,1,71.13,71.13
7,71,2026-05-12 02:17:53,email,32,3,131.53,394.59
7,71,2026-05-12 02:17:53,email,8,3,67.72,203.16
8,85,2026-03-11 20:43:32,email,24,1,39.49,39.49
9,94,2025-12-23 14:53:08,email,37,2,38.52,77.04
10,105,2026-03-22 07:11:56,direct,14,3,64.01,192.03
11,110,2025-11-14 21:46:49,email,32,3,131.53,394.59
11,110,2025-11-14 21:46:49,email,18,1,140.8,140.8
11,110,2025-11-14 21:46:49,email,22,2,64.26,128.52
12,114,2026-05-07 20:29:06,social,4,1,396.3,396.3
12,114,2026-05-07 20:29:06,social,16,1,162.61,162.61
12,114,2026-05-07 20:29:06,social,11,1,80.41,80.41
13,116,2026-01-10 10:29:55,organic,31,3,138.65,415.95
13,116,2026-01-10 10:29:55,organic,23,2,67.92,135.84
14,121,2026-01-26 02:46:38,email,17,3,104.43,313.29
14,121,2026-01-26 02:46:38,email,42,1,37.05,37.05
15,132,2026-04-29 10:51:19,paid_search,14,2,67.21,134.42
15,132,2026-04-29 10:51:19,paid_search,25,3,60.0,180.0
15,132,2026-04-29 10:51:19,paid_search,5,2,117.33,234.66
16,133,2026-05-27 08:13:06,email,4,3,512.86,1538.58
16,133,2026-05-27 08:13:06,email,10,2,112.09,224.18
17,141,2026-06-20 16:18:58,email,35,3,22.77,68.31
17,141,2026-06-20 16:18:58,email,32,2,131.53,263.06
17,141,2026-06-20 16:18:58,email,22,1,64.26,64.26
18,145,2026-03-04 02:41:57,referral,32,1,137.51,137.51
18,145,2026-03-04 02:41:57,referral,11,3,108.79,326.37
18,145,2026-03-04 02:41:57,referral,22,2,67.18,134.36
19,148,2026-04-01 08:57:41,organic,25,1,57.14,57.14
19,148,2026-04-01 08:57:41,organic,10,3,101.9,305.7
20,149,2026-01-09 08:05:00,organic,11,2,94.6,189.2
20,149,2026-01-09 08:05:00,organic,23,1,67.92,67.92
21,153,2025-10-24 18:11:28,organic,14,2,64.01,128.02
21,153,2025-10-24 18:11:28,organic,32,3,119.57,358.71
22,160,2026-06-23 20:15:19,organic,38,3,7.98,23.94
23,164,2026-05-10 02:41:27,email,20,2,79.41,158.82
23,164,2026-05-10 02:41:27,email,1,1,520.76,520.76
23,164,2026-05-10 02:41:27,email,16,3,210.43,631.29
24,169,2026-06-15 02:17:46,email,11,3,104.06,312.18
25,173,2026-04-18 14:23:01,referral,35,1,23.8,23.8
25,173,2026-04-18 14:23:01,referral,42,1,38.73,38.73
26,183,2025-11-24 01:39:11,referral,33,1,152.28,152.28
27,184,2025-11-04 07:06:16,referral,12,3,134.46,403.38
27,184,2025-11-04 07:06:16,referral,35,2,23.8,47.6
27,184,2025-11-04 07:06:16,referral,32,3,137.51,412.53
28,185,2026-04-28 13:51:25,referral,16,3,220.0,660.0
28,185,2026-04-28 13:51:25,referral,10,2,117.19,234.38
29,189,2026-02-11 05:16:34,referral,22,3,67.18,201.54
30,190,2026-05-13 17:45:01,organic,10,1,101.9,101.9
30,190,2026-05-13 17:45:01,organic,20,2,72.19,144.38
31,193,2026-06-05 01:07:47,organic,31,1,138.65,138.65
31,193,2026-06-05 01:07:47,organic,25,3,57.14,171.42
32,200,2025-11-14 03:49:43,email,1,2,520.76,1041.52
33,203,2025-09-30 07:47:55,referral,14,1,73.61,73.61
33,203,2025-09-30 07:47:55,referral,27,2,74.36,148.72
33,203,2025-09-30 07:47:55,referral,6,3,284.8,854.4
34,207,2025-11-20 00:46:46,email,25,2,62.85,125.7
34,207,2025-11-20 00:46:46,email,23,3,74.71,224.13
35,208,2026-01-01 23:15:01,referral,32,2,137.51,275.02
36,211,2026-04-30 06:18:57,referral,18,1,147.2,147.2
37,227,2025-11-02 02:42:18,referral,35,2,23.8,47.6
37,227,2025-11-02 02:42:18,referral,11,2,108.79,217.58
37,227,2025-11-02 02:42:18,referral,27,2,74.36,148.72
38,228,2026-03-19 15:06:46,referral,12,2,134.46,268.92
38,228,2026-03-19 15:06:46,referral,11,2,108.79,217.58
39,229,2025-10-15 01:19:02,referral,14,1,73.61,73.61
39,229,2025-10-15 01:19:02,referral,29,2,114.88,229.76
39,229,2025-10-15 01:19:02,referral,5,3,128.5,385.5
40,231,2026-02-05 10:45:40,organic,14,1,64.01,64.01
40,231,2026-02-05 10:45:40,organic,20,2,72.19,144.38
40,231,2026-02-05 10:45:40,organic,33,3,132.42,397.26
41,241,2026-05-05 06:02:24,email,4,3,512.86,1538.58
42,246,2026-05-18 12:21:56,organic,18,1,128.0,128.0
42,246,2026-05-18 12:21:56,organic,40,1,24.94,24.94
42,246,2026-05-18 12:21:56,organic,12,3,116.92,350.76
43,253,2025-09-01 20:28:41,direct,17,3,94.94,284.82
44,254,2026-06-23 02:01:47,referral,5,3,128.5,385.5
44,254,2026-06-23 02:01:47,referral,35,3,23.8,71.4
45,284,2026-05-27 16:48:59,paid_search,16,3,200.87,602.61
45,284,2026-05-27 16:48:59,paid_search,20,3,75.8,227.4
45,284,2026-05-27 16:48:59,paid_search,9,3,76.89,230.67
46,288,2026-06-06 07:52:10,organic,38,1,7.98,7.98
47,292,2026-06-28 10:00:38,organic,4,2,466.24,932.48
48,294,2026-03-21 03:31:40,direct,12,2,116.92,233.84
48,294,2026-03-21 03:31:40,direct,42,1,33.68,33.68
49,305,2026-03-29 13:06:46,referral,23,3,78.11,234.33
49,305,2026-03-29 13:06:46,referral,18,1,147.2,147.2
49,305,2026-03-29 13:06:46,referral,11,1,108.79,108.79
50,310,2025-09-12 14:01:59,paid_search,26,2,23.51,47.02
50,310,2025-09-12 14:01:59,paid_search,32,1,125.55,125.55
50,310,2025-09-12 14:01:59,paid_search,14,2,67.21,134.42
51,314,2026-05-12 21:09:27,direct,22,1,58.42,58.42
52,315,2026-04-15 14:15:20,referral,5,1,128.5,128.5
52,315,2026-04-15 14:15:20,referral,19,3,57.36,172.08
52,315,2026-04-15 14:15:20,referral,18,1,147.2,147.2
53,335,2026-03-26 09:29:02,organic,10,1,101.9,101.9
53,335,2026-03-26 09:29:02,organic,11,3,94.6,283.8
54,338,2026-04-12 09:02:17,email,4,1,512.86,512.86
54,338,2026-04-12 09:02:17,email,17,2,104.43,208.86
54,338,2026-04-12 09:02:17,email,5,1,122.91,122.91
55,340,2026-01-01 06:36:28,organic,18,3,128.0,384.0
55,340,2026-01-01 06:36:28,organic,42,2,33.68,67.36
56,348,2026-04-15 12:30:02,organic,10,3,101.9,305.7
57,355,2026-06-17 01:54:11,organic,5,3,111.74,335.22
57,355,2026-06-17 01:54:11,organic,16,2,191.3,382.6
57,355,2026-06-17 01:54:11,organic,14,2,64.01,128.02
58,358,2026-05-27 00:35:15,email,5,2,122.91,245.82
59,365,2026-05-27 22:49:18,referral,35,3,23.8,71.4
59,365,2026-05-27 22:49:18,referral,22,2,67.18,134.36
59,365,2026-05-27 22:49:18,referral,18,2,147.2,294.4
60,372,2025-12-30 13:42:51,social,23,1,57.73,57.73
60,372,2025-12-30 13:42:51,social,32,2,101.63,203.26
61,373,2026-02-27 00:45:43,email,35,3,22.77,68.31
61,373,2026-02-27 00:45:43,email,22,1,64.26,64.26
62,374,2025-09-30 00:02:55,email,17,1,104.43,104.43
63,376,2026-01-28 14:58:45,email,39,2,17.58,35.16
63,376,2026-01-28 14:58:45,email,32,1,131.53,131.53
63,376,2026-01-28 14:58:45,email,1,3,520.76,1562.28
64,385,2026-04-01 07:45:02,email,42,2,37.05,74.1
64,385,2026-04-01 07:45:02,email,27,1,71.13,71.13
64,385,2026-04-01 07:45:02,email,20,2,79.41,158.82
65,388,2025-12-28 08:54:16,email,20,1,79.41,79.41
65,388,2025-12-28 08:54:16,email,18,1,140.8,140.8
65,388,2025-12-28 08:54:16,email,16,2,210.43,420.86
66,392,2026-02-03 16:28:21,email,14,2,70.41,140.82
67,393,2026-01-15 21:20:06,direct,35,1,20.7,20.7
67,393,2026-01-15 21:20:06,direct,42,3,33.68,101.04
67,393,2026-01-15 21:20:06,direct,22,2,58.42,116.84
68,396,2026-05-02 18:44:29,email,14,2,70.41,140.82
69,399,2026-05-10 13:10:34,organic,35,2,20.7,41.4
69,399,2026-05-10 13:10:34,organic,40,1,24.94,24.94
69,399,2026-05-10 13:10:34,organic,5,1,111.74,111.74
70,403,2026-06-05 08:05:29,direct,12,3,116.92,350.76
70,403,2026-06-05 08:05:29,direct,4,1,466.24,466.24
71,406,2025-12-23 21:14:20,organic,12,1,116.92,116.92
72,412,2026-03-20 14:45:35,paid_search,11,3,99.33,297.99
72,412,2026-03-20 14:45:35,paid_search,32,3,125.55,376.65
73,417,2026-05-17 03:24:34,email,20,1,79.41,79.41
74,444,2025-11-02 01:34:31,referral,33,3,152.28,456.84
75,449,2026-06-07 22:06:33,direct,20,1,72.19,72.19
75,449,2026-06-07 22:06:33,direct,9,1,73.23,73.23
75,449,2026-06-07 22:06:33,direct,4,3,466.24,1398.72
76,450,2026-05-24 23:02:47,organic,11,1,94.6,94.6
76,450,2026-05-24 23:02:47,organic,5,3,111.74,335.22
77,452,2026-04-08 17:45:52,email,16,3,210.43,631.29
77,452,2026-04-08 17:45:52,email,12,1,128.61,128.61
78,453,2026-06-03 17:40:49,email,24,3,39.49,118.47
78,453,2026-06-03 17:40:49,email,18,3,140.8,422.4
79,455,2026-01-30 05:02:07,referral,12,1,134.46,134.46
79,455,2026-01-30 05:02:07,referral,35,2,23.8,47.6
80,456,2025-11-08 23:33:45,email,1,3,520.76,1562.28
81,463,2025-11-25 12:23:03,social,37,2,29.77,59.54
81,463,2025-11-25 12:23:03,social,20,2,61.36,122.72
81,463,2025-11-25 12:23:03,social,10,3,86.62,259.86
82,465,2026-04-29 16:22:02,email,20,1,79.41,79.41
83,467,2025-10-09 20:02:58,referral,10,2,117.19,234.38
83,467,2025-10-09 20:02:58,referral,20,3,83.02,249.06
