user_id,signup_date,channel,country,device,last_active_date,activated
1,2026-01-02 10:45:01,organic,US,mobile,2026-01-02 10:45:01,False
2,2026-02-11 13:11:11,email,FR,mobile,2026-02-11 13:11:11,False
3,2025-10-26 21:25:19,organic,US,mobile,2025-11-13 05:25:19,True
4,2026-01-22 20:58:50,organic,IN,mobile,2026-02-17 14:58:50,True
5,2025-12-05 23:04:40,referral,US,desktop,2026-02-01 20:04:40,True
6,2025-11-29 11:29:05,paid_search,US,desktop,2025-11-29 11:29:05,False
7,2025-09-29 16:11:13,organic,DE,desktop,2025-09-29 16:11:13,False
8,2026-02-21 21:49:23,paid_search,US,desktop,2026-02-21 21:49:23,False
9,2026-04-03 04:31:17,email,IN,tablet,2026-05-05 08:31:17,True
10,2026-05-30 22:54:35,email,AU,desktop,2026-05-30 22:54:35,False
11,2026-02-18 23:47:51,email,DE,desktop,2026-03-25 07:47:51,True
12,2026-05-23 07:05:41,email,UK,desktop,2026-06-26 15:05:41,True
13,2026-02-07 11:51:04,paid_search,UK,mobile,2026-02-15 02:51:04,True
14,2025-10-09 01:28:24,organic,UK,mobile,2025-11-25 22:28:24,True
15,2026-05-18 07:17:02,paid_search,BR,mobile,2026-05-18 07:17:02,False
16,2025-09-27 10:48:15,organic,CA,mobile,2025-09-27 10:48:15,False
17,2026-05-09 03:24:21,email,UK,desktop,2026-05-09 03:24:21,False
18,2026-05-24 22:19:18,referral,US,mobile,2026-06-21 01:19:18,True
19,2026-05-15 08:48:34,referral,DE,mobile,2026-05-15 08:48:34,False
20,2026-01-03 10:26:55,social,US,tablet,2026-01-03 10:26:55,False
21,2026-04-23 12:44:10,referral,US,desktop,2026-04-23 12:44:10,False
22,2026-01-22 23:06:26,organic,FR,mobile,2026-02-23 22:06:26,True
23,2026-01-02 08:43:43,referral,DE,desktop,2026-03-04 10:43:43,True
24,2026-05-19 06:09:05,referral,IN,tablet,2026-05-19 06:09:05,False
25,2025-12-21 03:55:14,referral,IN,desktop,2025-12-21 03:55:14,False
26,2026-04-30 10:51:28,email,UK,mobile,2026-05-30 22:51:28,True
27,2026-04-11 07:48:37,referral,CA,desktop,2026-04-11 07:48:37,False
28,2025-10-03 12:01:38,organic,DE,mobile,2025-10-03 12:01:38,False
29,2026-01-03 00:00:01,organic,CA,mobile,2026-03-08 13:00:01,True
30,2025-11-15 13:40:30,paid_search,US,mobile,2025-11-15 13:40:30,False
31,2026-06-21 07:49:37,direct,UK,mobile,2026-06-21 07:49:37,False
32,2026-05-13 03:11:20,email,US,mobile,2026-05-13 03:11:20,False
33,2026-01-26 05:19:19,organic,BR,mobile,2026-03-15 08:19:19,True
34,2026-04-08 08:34:19,paid_search,CA,mobile,2026-04-08 09:40:19,True
35,2026-06-19 19:56:06,referral,UK,mobile,2026-06-19 19:56:06,False
36,2026-04-20 20:17:51,email,FR,desktop,2026-04-20 20:17:51,False
37,2026-01-25 19:42:07,referral,US,desktop,2026-01-25 19:42:07,False
38,2026-02-11 09:48:32,referral,BR,mobile,2026-02-11 09:48:32,False
39,2026-03-21 22:25:16,direct,UK,mobile,2026-03-21 22:25:16,False
40,2026-06-10 03:24:26,direct,FR,mobile,2026-06-10 03:24:26,False
41,2025-12-23 15:25:11,organic,IN,mobile,2025-12-23 15:25:11,False
42,2026-03-11 08:59:22,direct,IN,desktop,2026-04-27 06:59:22,True
43,2025-10-31 21:42:34,organic,US,mobile,2025-10-31 21:42:34,False
44,2026-04-13 01:39:47,direct,US,desktop,2026-04-13 01:39:47,False
45,2025-12-11 21:30:57,direct,AU,mobile,2026-04-03 03:30:57,True
46,2026-02-10 02:10:07,email,FR,desktop,2026-06-20 05:10:07,True
47,2026-05-07 10:49:19,email,US,mobile,2026-06-15 09:49:19,True
48,2026-06-20 05:38:34,paid_search,CA,desktop,2026-06-20 05:38:34,False
49,2025-12-31 14:35:37,email,CA,desktop,2025-12-31 14:35:37,False
50,2025-09-19 17:29:48,referral,US,desktop,2025-09-19 17:29:48,False
51,2026-03-19 11:35:43,paid_search,UK,mobile,2026-03-19 11:35:43,False
52,2026-04-09 14:20:53,direct,IN,desktop,2026-04-09 14:20:53,False
53,2026-06-17 01:02:36,email,US,desktop,2026-06-17 02:25:36,True
54,2026-05-07 00:11:34,paid_search,IN,desktop,2026-05-07 00:11:34,False
55,2026-03-30 00:37:14,paid_search,US,mobile,2026-03-30 00:37:14,False
